Document No.;Type;Quantity;Item No.;Item Description;barcode
S-OTP-26-17955;SHIPMENT;2,00;NTR83660;PCM ROSE 2 kr. ladica 200x160 MADRAC Nobel 108 hladno sivo;NTR83660
S-OTP-26-17955;SHIPMENT;2,00;NTR83662;PCM ROSE 2 kr. ladica 200x160 UZGLAVLJE Nobel 108 hladno sivo;NTR83662
S-OTP-26-17955;SHIPMENT;4,00;NTR83668;PCM ROSE 2 kr. ladica 200x80 TAPET Nobel 108 hladno sivo;NTR83668
S-OTP-26-17955;SHIPMENT;2,00;NTR83693;PCM ROSE 2 kr. ladica 200x80 KORPUS DESNI Nobel 108 hladno sivo;NTR83693
S-OTP-26-17955;SHIPMENT;2,00;NTR83711;PCM ROSE 2 kr. ladica 200x80 KORPUS LIJEVI Nobel 108 hladno sivo;NTR83711
S-OTP-26-17955;SHIPMENT;1,00;NGP234829;PC CVITA NEXT ormar stranice D+L bijela mat ZA.;NGP234829
S-OTP-26-17955;SHIPMENT;1,00;NTR84801;PCM POSTOLJE ULMO crno metal mat;NTR84801
S-OTP-26-17955;SHIPMENT;1,00;NTR87650;PCM TILA box krevet 200X160 MADRAC Cremona 02 krem;NTR87650
S-OTP-26-17955;SHIPMENT;1,00;NTR87651;PCM TILA box krevet 200X160 NADMADRAC;NTR87651
S-OTP-26-17955;SHIPMENT;4,00;NTR88714;PCM noge MONDO/VIVO/TENOR/SCALA hrast natur ulje;NTR88714
S-OTP-26-17955;SHIPMENT;6,00;NTR88726;PCM noge DAVOS/VITA/ZARA/MIA bukva crno;NTR88726
S-OTP-26-17955;SHIPMENT;6,00;NTR88727;PCM noge DAVOS/VITA/ZARA/MIA bukva sivo antracit;NTR88727
S-OTP-26-17955;SHIPMENT;1,00;NTR92538;PCM LINA 2 fran. krevet 120x200 UZGLAVLJE Mercury 111 plavo/Mercury 102 svijetlo sivo;NTR92538
S-OTP-26-17955;SHIPMENT;1,00;NTR92543;PCM LINA 2 fran. krevet 120x200 KORPUS Mercury 111 plavo;NTR92543
S-OTP-26-17955;SHIPMENT;1,00;NTR92548;PCM LINA 2 fran. krevet 120x200 TAPET Mercury 111 plavo;NTR92548
S-OTP-26-17955;SHIPMENT;1,00;NTR92552;PCM LINA 2 fran. krevet 120x200 OKOV+NOGE;NTR92552
S-OTP-26-17955;SHIPMENT;4,00;NGP234834;PC CVITA NEXT ormar vezna polica + sokl 982 G+D tkanina ZA.;NGP234834
S-OTP-26-17955;SHIPMENT;1,00;NTR92558;PCM LINA 2 fran. krevet 160x200 UZGLAVLJE Mercury 116 crno/Mercury 108 sivo;NTR92558
S-OTP-26-17955;SHIPMENT;1,00;NTR92563;PCM LINA 2 fran. krevet 80x200 KORPUS DESNI Mercury 116 crno;NTR92563
S-OTP-26-17955;SHIPMENT;1,00;NTR92568;PCM LINA 2 fran. krevet 80x200 KORPUS LIJEVI Mercury 116 crno;NTR92568
S-OTP-26-17955;SHIPMENT;1,00;NTR92573;PCM LINA 2 fran. krevet 160x200 TAPET Mercury 116 crno;NTR92573
S-OTP-26-17955;SHIPMENT;1,00;NTR92578;PCM LINA 2 fran. krevet 160x200 OKOV+NOGE;NTR92578
S-OTP-26-17955;SHIPMENT;1,00;NTR94608;PCM KETI fran. krevet 120x200 UZGLAVLJE Timor New 101 bijela;NTR94608
S-OTP-26-17955;SHIPMENT;1,00;NTR94609;PCM KETI/VALA fran. krevet 120x200 KORPUS Timor New 101 bijela;NTR94609
S-OTP-26-17955;SHIPMENT;1,00;NTR94610;PCM KETI/VALA fran. krevet 120x200 TAPET Timor New 101 bijela;NTR94610
S-OTP-26-17955;SHIPMENT;3,00;NTR94611;PCM KETI fran. krevet 120 OKOV+NOGE;NTR94611
S-OTP-26-17955;SHIPMENT;2,00;NTR94613;PCM KETI fran. krevet 120x200 UZGLAVLJE Timor New 102 sivo;NTR94613
S-OTP-26-17955;SHIPMENT;2,00;NTR94614;PCM KETI/VALA fran. krevet 120x200 KORPUS Timor New 102 sivo;NTR94614
S-OTP-26-17955;SHIPMENT;2,00;NTR94615;PCM KETI/VALA fran. krevet 120x200 TAPET Timor New 102 sivo;NTR94615
S-OTP-26-17955;SHIPMENT;2,00;NTR66106;PCM fotelja EMERSON hrast izbjeljeno ulje Mercury 4025 rozo;NTR66106
S-OTP-26-17955;SHIPMENT;1,00;NTR78117;PCM stol ALDO R 120/160x80 bijelo/bijelo;NTR78117
S-OTP-26-17955;SHIPMENT;4,00;NTR88725;PCM noge DAVOS/VITA/ZARA/MIA bukva bijelo;NTR88725
S-OTP-26-17955;SHIPMENT;1,00;NTR78856;LP OSKAR LUX II ormar 2D/4V KORPUS hrast ontario pak.1/2;NTR78856
S-OTP-26-17955;SHIPMENT;1,00;NTR78857;LP OSKAR LUX II ormar 2D/4V KORPUS hrast ontario pak.2/2;NTR78857
S-OTP-26-17955;SHIPMENT;1,00;NTR78865;LP OSKAR LUX II ormar 2D/4V VRATA bijelo sjaj pak.1/2;NTR78865
S-OTP-26-17955;SHIPMENT;1,00;NTR78866;LP OSKAR LUX II ormar 2D/4V VRATA bijelo sjaj pak.2/2;NTR78866
S-OTP-26-17955;SHIPMENT;1,00;NTR80231;LP NELA ormar klizni 200x150/180/220/270 2VR L+D bočna stranica san remo;NTR80231
S-OTP-26-17955;SHIPMENT;1,00;NTR80233;LP NELA ormar klizni 200x180 leđa/pod/strop/sr.vez bijelo;NTR80233
S-OTP-26-17955;SHIPMENT;1,00;NTR80251;LP NELA ormar klizni 200x180/220/270 okomice bijelo;NTR80251
S-OTP-26-17955;SHIPMENT;1,00;NTR80270;LP NELA ormar klizni 200x180/270 vezna polica kraća/pol427-2kom/pol326-1kom/pol528-1kom bijelo;NTR80270
S-OTP-26-17955;SHIPMENT;1,00;NTR80236;LP NELA ormar klizni 200x180 sokl san remo;NTR80236
S-OTP-26-17955;SHIPMENT;1,00;NTR80255;LP NELA ormar klizni 200x180/270 fronta gornja (1 kom) san remo;NTR80255
S-OTP-26-17955;SHIPMENT;1,00;NTR80261;LP NELA ormar klizni 200x180/270 fronta srednja (1 kom) san remo;NTR80261
S-OTP-26-17955;SHIPMENT;1,00;NTR80267;LP NELA ormar klizni 200x180/270 fronta donja (1 kom) san remo;NTR80267
S-OTP-26-17955;SHIPMENT;1,00;NTR80257;LP NELA ormar klizni 200x180/270 fronta gornja s ogledalom (1 kom);NTR80257
S-OTP-26-17955;SHIPMENT;1,00;NTR80263;LP NELA ormar klizni 200x180/270 fronta srednja s ogledalom (1 kom);NTR80263
S-OTP-26-17955;SHIPMENT;1,00;NTR80269;LP NELA ormar klizni 200x180/270 fronta donja s ogledalom (1 kom);NTR80269
S-OTP-26-17955;SHIPMENT;1,00;NTR80244;LP NELA ormar klizni 200x180 2VR okov;NTR80244
S-OTP-26-17955;SHIPMENT;1,00;NGP073909;PC stol PALMA okrugli fi 100 bijelo pak.2/2 ZA.;NGP073909
S-OTP-26-17955;SHIPMENT;3,00;NGP234835;PC CVITA NEXT ormar vezna polica/polica ( 1 kom )982 SREDNJA tkanina ZA.;NGP234835
S-OTP-26-17955;SHIPMENT;1,00;NTR81945;PCM NOX madrac 200x120;NTR81945
